title,start_date,end_date,status,dropped_episode,other
Ｄｒ．ＳＴＯＮＥ　龍水,22/7/30,22/7/30,complete,,
継母の連れ子が元カノだった,22/8/2,22/10/3,complete,,
よふかしのうた,22/8/4,22/10/6,complete,,
はたらく魔王さま！！,22/8/4,22/9/30,complete,,
月刊少女野崎くん,22/8/7,22/8/17,complete,,
＊Engage Kiss,22/8/18,,drop,5
ブギーポップは笑わない,22/8/19,,drop,6
ぼくらの,22/8/26,22/9/12,complete,,
咲う アルスノトリア すんっ！,22/8/30,,drop,4
それでも歩は寄せてくる,22/9/6,22/9/25,complete,,
夏へのトンネル、さよならの出口,22/9/9,22/9/9,complete,,
ヤマノススメ,22/9/12,22/9/13,complete,,
ヤマノススメ セカンドシーズン,22/9/14,22/9/30,complete,,
シャドーハウス 2nd Season,22/9/15,22/10/6,complete,,
＊最近雇ったメイドが怪しい,22/9/16,,drop,1
＊異世界薬局,22/9/18,,drop,1
＊黒の召喚士,22/9/20,,ongoing,,
このヒーラー、めんどくさい,22/9/22,22/10/5,complete,,
サイダーのように言葉が湧き上がる,22/9/23,22/9/23,complete,,
ジョゼと虎と魚たち(rewatch),22/9/25,22/9/25,complete,,
私に天使が舞い降りた！,22/9/29,22/10/13,complete,,
ヤマノススメ おもいでプレゼント,22/9/30,22/9/30,complete,,
ヤマノススメ サードシーズン,22/10/1,22/10/11,complete,,
＊プリマドール,22/10/11,,drop,2
四畳半タイムマシンブルース,22/10/12,22/10/12,complete,,
忍の一時,22/10/12,22/12/21,complete,,
転生したら剣でした,22/10/13,,drop,1
四畳半神話体系,22/10/13,22/10/19,complete,,
私に天使が舞い降りた！プレシャス・フレンズ,22/10/14,22/10/14,complete,,
モブサイコ100,22/10/15,22/10/23,complete,,
チェンソーマン,22/10/18,22/12/21,complete,,
ぼっち・ざ・ろっく！,22/10/19,22/12/22,complete,,
アキバ冥途戦争,22/10/20,23/1/4,complete,,
Do It Yourself!! -どぅー・いっと・ゆあせるふ-,22/10/20,22/12/22,complete,,
ヤマノススメ Next Summit,22/10/20,22/1/4,complete,,
陰の実力者になりたくて！,22/10/21,,drop,5
SPY×FAMILY 第二クール,22/10/21,22/12/27,complete,,
ゴールデンカムイ4期,22/10/21,,suspend,6
うる星やつら,22/10/22,,drop,2
モブサイコ100 II,22/10/24,22/11/1,complete,,
機動戦士ガンダム 水星の魔女,22/10/25,23/1/12,complete,,
君を愛したひとりの僕へ,22/10/26,22/10/26,complete,,
ある朝、ダミーヘッドマイクになっていた俺クンの人生,22/10/26,22/12/27,complete,,
僕が愛したすべての君へ,22/10/27,22/10/27,complete,,
4人はそれぞれウソをつく,22/10/29,,drop,3
勇者パーティーを追放されたビーストテイマー、最強種の猫耳少女と出会う,22/10/30,,drop,1
ロマンティック・キラー,22/10/30,22/11/9,complete,,
新米錬金術師の店舗経営,22/10/31,,drop,3
ぼくらのよあけ,22/11/2,22/11/2,complete,,
モブサイコ100 III,22/11/3,22/12/25,complete,,
賭ケグルイ双,22/11/10,,ongoing,,
うちの師匠はしっぽがない,22/11/10,22/12/27,complete,,
